Timestamp,What is your gender?,What is the highest level of education you have completed?,What is your age?,What is your employment status?,What is your marital/relationship status?,How many people live in your household?,What is your ethnicity?,What state are you in?,What state are you in? (cleaned),How many hours a day do you typically spend on your job?,How many hours a day do you typically spend preparing meals?,"How many hours a week do you spend on housework, outside of cooking meals?",How many hours a day do you spend on electronics for leisure?,How many hours a day are you spending with your family members or roommates?,(Fill in the blank)  Social distancing has been ________ in combating the spread of COVID-19. ,Numerical Score_1,Social distancing is worthwhile.,Numerical score_2,For how long do you expect the government advised social distancing to last beyond today?,Numerical score_3,How concerned are you about the Coronavirus situation?,Numerical score_4,How would you rate President Donald Trump’s performance regarding the Coronavirus?,Numerica score_5,How many months will it take for the economy to recover?,How do you feel about the long term impact of Coronavirus on the economy?,Numerical score_6,Worker ID,Survey
4/26/2020 23:43,Male,"Some college, no degree",31-40,Employed for wages,"Single, never married",1,White/Caucasian,Florida,Florida,8,1,5,6,0,Extremely effective,5,Strongly agree,5,4-12 weeks,3,Extremely concerned,4,Poor,1,6,Somewhat worried,3,AT6LDQNLKTUSE,0
4/26/2020 23:55,Male,Bachelor’s degree,31-40,Employed for wages,"Single, never married",1,White/Caucasian,Delaware,Delaware,8,2,2,2,3,Extremely effective,5,Strongly agree,5,2-4 weeks,2,Extremely concerned,4,Good,3,4,Somewhat worried,3,A1K8VUKRL53OX,0
4/26/2020 23:57,Male,Bachelor’s degree,21-30,Employed for wages,Married or domestic partnership,03-May,White/Caucasian,California,California,8,2,12,1,3,Extremely effective,5,Strongly agree,5,4-12 weeks,3,Somewhat concerned,3,Excellent,4,3,Somewhat worried,3,A3N7LX3J6MUIQ1,0
4/27/2020 0:10,Male,"Some college, no degree",21-30,Employed for wages,Married or domestic partnership,2,White/Caucasian,Ohio,Ohio,8,1,3,1,2,Extremely effective,5,Strongly agree,5,2-4 weeks,2,Extremely concerned,4,Poor,1,12,Extremely worried,4,AHKYVHP6591H8,0
4/27/2020 0:10,Female,Associate degree,21-30,Employed for wages,"Single, never married",03-May,Black or African American,Tennessee,Tennessee,6,3,1,3,3,Extremely effective,5,Strongly agree,5,2-4 weeks,2,Extremely concerned,4,Neutral,2,3,Extremely worried,4,A35GDBQQSJE1I6,0
4/27/2020 0:11,Female,Master’s degree,21-30,Employed for wages,Married or domestic partnership,03-May,White/Caucasian,WV,West Virginia,8,2,12,2,3,Extremely effective,5,Strongly agree,5,4-12 weeks,3,Extremely concerned,4,Neutral,2,12,Extremely worried,4,A1QCMICNDURJVA,0
4/27/2020 0:11,Male,Bachelor’s degree,31-40,Employed for wages,"Single, never married",1,Black or African American,California,California,8,2,5,3,1,Very effective,4,Strongly agree,5,4-12 weeks,3,Extremely concerned,4,Neutral,2,24,Extremely worried,4,A1CA6ZXKK09ZRI,0
4/27/2020 0:13,Female,Master’s degree,41-50,Employed for wages,Married or domestic partnership,,White/Caucasian,TEXAS,Texas,8,2,2,1,3,Somewhat effective,3,Somewhat agree,4,4-12 weeks,3,Somewhat concerned,3,Neutral,2,2,Somewhat worried,3,A3NAEEY1J3T56D,0
4/27/2020 0:13,Male,Associate degree,31-40,Employed for wages,"Single, never married",1,White/Caucasian,California ,California ,6,1,3,4,0,Very effective,4,Strongly agree,5,4-12 weeks,3,Extremely concerned,4,Neutral,2,6,Extremely worried,4,A82Q1HS5CPZ5I,0
4/27/2020 0:14,Male,Master’s degree,41-50,Employed for wages,Married or domestic partnership,03-May,White/Caucasian,tx,Texas,6,1,3,3,3,Very effective,4,Somewhat agree,4,2-4 weeks,2,Somewhat concerned,3,Good,3,5,Somewhat worried,3,A1OMBPOIWLGNCU,0
4/27/2020 0:14,Female,Master’s degree,41-50,Employed for wages,Married or domestic partnership,03-May,Hispanic/Latino,texas,Texas,7,1.3,21,2,5,Very effective,4,Somewhat agree,4,4-12 weeks,3,Somewhat concerned,3,Good,3,3,Not particularly worried,2,AMN67BW3S02J0,0
4/27/2020 0:20,Male,Bachelor’s degree,31-40,Employed for wages,Married or domestic partnership,03-May,Black or African American,Pennyslavania,Pennsylvania,6,2,1,2,3,Extremely effective,5,Strongly agree,5,More than 12 weeks,4,Extremely concerned,4,Poor,1,6,Extremely worried,4,A11WDOF1NX74OM,0
4/27/2020 0:45,Female,Master’s degree,60+,Employed for wages,Married or domestic partnership,03-May,White/Caucasian,NEW YORK,New York,7,2,16,1,1,Very effective,4,Somewhat agree,4,2-4 weeks,2,Not very concerned,2,Good,3,3,Somewhat worried,3,AUWG615YRR41S,0
4/27/2020 1:08,Male,Bachelor’s degree,21-30,Employed for wages,Married or domestic partnership,03-May,White/Caucasian,Texas,Texas,9,6,2,4,6,Extremely effective,5,Strongly agree,5,4-12 weeks,3,Extremely concerned,4,Good,3,12,Extremely worried,4,A1H8R5W4VMSWTS,0
4/27/2020 1:16,Male,Master’s degree,41-50,Employed for wages,Married or domestic partnership,03-May,White/Caucasian,usa,USA,5,3,3,2,2,Very effective,4,Somewhat agree,4,2-4 weeks,2,Somewhat concerned,3,Good,3,3,Somewhat worried,3,A1I6X5ES5VRBO,0
4/27/2020 21:52,Male,Bachelor’s degree,31-40,Self-employed,"Single, never married",1,Asian,NEVADA,Nevada,9,1,2,3,0,Very effective,4,Neither agree nor disagree,3,More than 12 weeks,4,Not very concerned,2,Good,3,6,Somewhat worried,3,A12ATVBE1I4567,1
4/27/2020 21:53,Male,Associate degree,21-30,Self-employed,"Single, never married",03-May,Asian,Illinois,Illinois,6,0,0,6,0,Extremely effective,5,Strongly agree,5,4-12 weeks,3,Somewhat concerned,3,Poor,1,6,Somewhat worried,3,A17TKHT8FEVH0R,1
4/27/2020 21:53,Female,Bachelor’s degree,31-40,Employed for wages,"Single, never married",More than 5,White/Caucasian,Washington,Washington,10,2,2,2,8,Extremely effective,5,Strongly agree,5,More than 12 weeks,4,Extremely concerned,4,Poor,1,12,Somewhat worried,3,A11DIVCBTYFDV4,1
4/27/2020 21:53,Male,High school diploma or equivalent,21-30,Employed for wages,"Single, never married",1,White/Caucasian,TX,Texas,8,1,4,6,2,Very effective,4,Strongly agree,5,4-12 weeks,3,Extremely concerned,4,Excellent,4,12,Extremely worried,4,A3I40B0FATY8VH,1
4/27/2020 21:53,Male,Bachelor’s degree,21-30,Out of work and looking for work,"Single, never married",1,Asian,NY,New York,8,3,2,2,0,Very effective,4,Somewhat agree,4,2-4 weeks,2,Somewhat concerned,3,Excellent,4,24,Extremely worried,4,A1YRLN7DX2UK1X,1
4/27/2020 21:53,Female,Master’s degree,31-40,Employed for wages,"Single, never married",03-May,White/Caucasian,West Virginia,West Virginia,6,3,2,4,8,Extremely effective,5,Strongly agree,5,4-12 weeks,3,Somewhat concerned,3,Poor,1,12,Somewhat worried,3,A21H886K2FVNLG,1
4/27/2020 21:53,Male,"Some college, no degree",41-50,Out of work and looking for work,"Single, never married",1,White/Caucasian,New York,New York,5,2,3,5,6,Extremely effective,5,Strongly agree,5,More than 12 weeks,4,Not at all concerned,1,Poor,1,12,Extremely worried,4,A3VE9WX0XH2N5G,1
4/27/2020 21:53,Male,Associate degree,21-30,Unable to work,Married or domestic partnership,2,White/Caucasian,mn,Minnesota,8,4,4,4,4,Very effective,4,Strongly agree,5,Less than 2 weeks,1,Not at all concerned,1,Good,3,12,Not particularly worried,2,A220ZCMBT1YMMU,1
